run_id,sample_id,question_type,difficulty,modalities,strategy,k,expected_evidence_count,hit_evidence_count,hit_at_k,recall_at_k,mrr,context_precision,context_recall,latency_ms,returned_chunks,chunk_ids,content_types,hit_evidence_ids,question,evidence_rank_improved,evidence_rank_worsened,evidence_lost_after_rerank,evidence_gained_after_rerank,router_name,route,selected_strategy,use_graph,use_rerank,reason
query_router_ablation_v0_001,EVAL-0001,fact,easy,text,router_safe,5,2,2,1.0,1.0,1.0,0.2,1.0,0.84,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
query_router_ablation_v0_001,EVAL-0001,fact,easy,text,router_graph_rerank,5,2,2,1.0,1.0,1.0,0.2,1.0,0.84,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
query_router_ablation_v0_001,EVAL-0001,fact,easy,text,router_always_q015_rerank,5,2,0,0.0,0.0,0.0,0.0,0.0,731.73,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,What is BluePump-X100?,0,0,2,0,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
query_router_ablation_v0_001,EVAL-0001,fact,easy,text,router_oracle_by_type,5,2,2,1.0,1.0,1.0,0.2,1.0,0.84,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0,router_oracle_by_type,oracle_fact,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
query_router_ablation_v0_001,EVAL-0002,fact,easy,text,router_safe,5,1,1,1.0,1.0,1.0,0.2,1.0,0.79,5,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,text | text | text | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
query_router_ablation_v0_001,EVAL-0002,fact,easy,text,router_graph_rerank,5,1,1,1.0,1.0,1.0,0.2,1.0,0.79,5,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,text | text | text | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
query_router_ablation_v0_001,EVAL-0002,fact,easy,text,router_always_q015_rerank,5,1,0,0.0,0.0,0.0,0.0,0.0,752.21,5,doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,Which pipeline does BluePump-X100 move cooling water through?,0,0,1,0,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
query_router_ablation_v0_001,EVAL-0002,fact,easy,text,router_oracle_by_type,5,1,1,1.0,1.0,1.0,0.2,1.0,0.79,5,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,text | text | text | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0,router_oracle_by_type,oracle_fact,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
query_router_ablation_v0_001,EVAL-0003,fact,easy,text,router_safe,5,2,2,1.0,1.0,1.0,0.2,1.0,0.66,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
query_router_ablation_v0_001,EVAL-0003,fact,easy,text,router_graph_rerank,5,2,2,1.0,1.0,1.0,0.2,1.0,0.66,5,doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-001 | doc_003_incident_report-chunk-003 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is Filter-F33?,0,0,0,0,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
